episode,score,total_reward,steps,eps,timestamp
1,0,-10.18,7,0.9996,20260309-192942
2,0,-10.16,8,0.9994,20260309-192942
3,0,-10.16,8,0.9994,20260309-192942
4,0,-10.20,9,0.9993,20260309-192942
5,0,-10.20,9,0.9993,20260309-192942
6,0,-10.00,10,0.9991,20260309-192942
7,0,-10.24,10,0.9991,20260309-192942
8,1,-0.20,10,0.9991,20260309-192942
9,0,-10.47,11,0.9990,20260309-192942
10,0,-10.14,12,0.9988,20260309-192942
11,0,-10.87,12,0.9988,20260309-192942
12,0,-10.93,12,0.9988,20260309-192942
13,0,-10.14,12,0.9988,20260309-192942
14,1,0.08,12,0.9988,20260309-192942
15,0,-10.30,13,0.9987,20260309-192942
16,1,0.08,6,0.9985,20260309-192943
17,0,-10.02,9,0.9982,20260309-192943
18,0,-10.22,8,0.9982,20260309-192943
19,0,-11.87,17,0.9981,20260309-192943
20,0,-12.77,18,0.9979,20260309-192943
21,0,-10.75,18,0.9979,20260309-192943
22,0,-11.16,19,0.9978,20260309-192943
23,0,-10.85,19,0.9978,20260309-192943
24,0,-10.97,19,0.9978,20260309-192943
25,0,-10.18,10,0.9978,20260309-192943
26,0,-10.02,9,0.9975,20260309-192943
27,0,-11.85,21,0.9975,20260309-192943
28,0,-11.72,22,0.9973,20260309-192943
29,0,-10.28,11,0.9972,20260309-192943
30,0,-10.06,10,0.9972,20260309-192943
31,1,-0.26,13,0.9972,20260309-192943
32,0,-10.51,12,0.9970,20260309-192943
33,0,-11.34,13,0.9969,20260309-192943
34,0,-12.58,25,0.9969,20260309-192943
35,1,0.04,10,0.9967,20260309-192943
36,1,-1.83,26,0.9967,20260309-192943
37,0,-12.01,27,0.9966,20260309-192943
38,0,-11.93,28,0.9964,20260309-192943
39,1,-1.60,17,0.9963,20260309-192943
40,0,-13.50,30,0.9961,20260309-192943
41,0,-10.97,16,0.9961,20260309-192943
42,0,-12.46,30,0.9961,20260309-192943
43,0,-10.28,8,0.9961,20260309-192943
44,0,-10.32,12,0.9961,20260309-192943
45,0,-13.50,30,0.9961,20260309-192943
46,0,-10.16,8,0.9960,20260309-192943
47,0,-10.84,23,0.9957,20260309-192943
48,0,-10.99,18,0.9955,20260309-192943
